"Date";"Line(QaITCPICYIY)"
"31.03.2020";"0,097"
"30.04.2020";"0"
"31.05.2020";"-0,194"
"30.06.2020";"-0,194"
"31.07.2020";"-0,388"
"31.08.2020";"-0,483"
"30.09.2020";"-0,583"
"31.10.2020";"-0,292"
"30.11.2020";"-0,195"
"31.12.2020";"-0,195"
"31.01.2021";"0,389"
"28.02.2021";"0,584"
"31.03.2021";"0,777"
"30.04.2021";"1,068"
